sequence,pair,type,num_kpts_ref,num_kpts_tgt,num_matches,mma@1px,mma@2px,mma@3px,mma@4px,mma@5px,mma@6px,mma@7px,mma@8px,mma@9px,mma@10px
i_veggies,1-2,illumination,2048,2048,1706,0.55978898007034,0.9155920281359906,0.9525205158264948,0.9665885111371629,0.9753810082063306,0.9794841735052755,0.9824150058616647,0.984759671746776,0.9865181711606096,0.9865181711606096
i_veggies,1-3,illumination,2048,2048,1440,0.35694444444444445,0.7965277777777777,0.8604166666666667,0.8902777777777777,0.9118055555555555,0.9208333333333333,0.9256944444444445,0.93125,0.9375,0.9423611111111111
i_veggies,1-4,illumination,2048,2048,1549,0.4002582311168496,0.8373143963847643,0.9128469980632666,0.9380245319561007,0.9502905100064558,0.9593285990961911,0.9638476436410588,0.9703034215622982,0.972885732730794,0.9761136216914138
i_veggies,1-5,illumination,2048,2048,1239,0.22760290556900725,0.6384180790960452,0.7522195318805488,0.801452784503632,0.8240516545601292,0.8337368845843423,0.8466505246166263,0.8531073446327684,0.8563357546408394,0.8603712671509282
i_veggies,1-6,illumination,2048,2048,1190,0.22016806722689075,0.592436974789916,0.6907563025210084,0.7369747899159664,0.7663865546218488,0.7747899159663866,0.7815126050420168,0.7873949579831933,0.7941176470588235,0.7983193277310925
i_village,1-2,illumination,2048,2048,1403,0.5609408410548824,0.7605131860299359,0.8488952245188881,0.9059158945117605,0.9372772630078403,0.9451176051318603,0.9458303635067712,0.9508196721311475,0.9515324305060584,0.9529579472558802
i_village,1-3,illumination,2048,2048,1401,0.516773733047823,0.715203426124197,0.8172733761598858,0.8865096359743041,0.9193433261955746,0.9336188436830836,0.9443254817987152,0.9486081370449678,0.9507494646680942,0.9521770164168452
i_village,1-4,illumination,2048,2048,1382,0.5441389290882779,0.715629522431259,0.8248914616497829,0.8784370477568741,0.9175108538350217,0.9341534008683068,0.9399421128798843,0.9457308248914617,0.9486251808972503,0.9529667149059334
i_village,1-5,illumination,2048,2048,1610,0.753416149068323,0.8813664596273292,0.929192546583851,0.9503105590062112,0.9677018633540373,0.9745341614906833,0.9782608695652174,0.9801242236024845,0.9813664596273292,0.9832298136645963
i_village,1-6,illumination,2048,2048,1350,0.4837037037037037,0.682962962962963,0.7866666666666666,0.8422222222222222,0.8888888888888888,0.9088888888888889,0.92,0.9244444444444444,0.9325925925925926,0.9340740740740741
i_whitebuilding,1-2,illumination,2048,2048,1797,0.758486366165832,0.758486366165832,0.9293266555370061,0.9616026711185309,0.9616026711185309,0.9705063995548135,0.9705063995548135,0.9732888146911519,0.9755147468002225,0.9771841958820257
i_whitebuilding,1-3,illumination,2048,2048,1729,0.6749566223250434,0.6749566223250434,0.8958935801041065,0.9433198380566802,0.9433198380566802,0.9658762290341237,0.9658762290341237,0.9710815500289185,0.973395026026605,0.9751301330248698
